symbol,entry_time,exit_time,holding_days,shares,entry_price,exit_price,entry_cost,exit_cost,gross_pnl,net_pnl,return_pct,is_win
INFY,2023-10-31 03:45:00,2023-11-07 03:45:00,7,110,1380.64,1399.3,227.77,230.92,2052.61,1593.92,0.0135,True
HDFCBANK,2023-10-25 03:45:00,2023-11-15 03:45:00,21,75,760.88,751.67,85.58,84.58,-690.47,-860.63,-0.0121,False
RELIANCE,2023-10-25 03:45:00,2023-11-15 03:45:00,21,45,1125.59,1169.41,75.96,78.95,1972.24,1817.32,0.0389,True
RELIANCE,2023-11-07 03:45:00,2023-11-15 03:45:00,8,223,1167.61,1169.41,390.5,391.23,402.84,-378.89,0.0015,False
HDFCBANK,2023-10-25 03:45:00,2023-11-21 03:45:00,27,135,760.88,759.12,154.05,153.75,-237.6,-545.4,-0.0023,False
INFY,2023-11-15 03:45:00,2023-11-21 03:45:00,6,262,1399.7,1441.28,549.99,566.52,10893.83,9777.32,0.0297,True
RELIANCE,2023-11-07 03:45:00,2023-11-21 03:45:00,14,44,1167.61,1182.41,77.05,78.05,651.2,496.1,0.0127,True
ICICIBANK,2023-10-25 03:45:00,2023-11-29 03:45:00,35,171,926.51,930.43,237.61,238.7,670.59,194.28,0.0042,True
HDFCBANK,2023-10-25 03:45:00,2023-12-05 03:45:00,41,264,760.88,817.84,301.26,323.92,15037.61,14412.43,0.0749,True
HDFCBANK,2023-10-31 03:45:00,2023-12-05 03:45:00,35,1,752.38,817.84,1.13,1.23,65.46,63.11,0.087,True
HDFCBANK,2023-11-07 03:45:00,2023-12-05 03:45:00,28,13,747.37,817.84,14.57,15.95,916.08,885.55,0.0943,True
HDFCBANK,2023-11-29 03:45:00,2023-12-05 03:45:00,6,204,767.33,817.84,234.76,250.3,10303.51,9818.44,0.0658,True
ICICIBANK,2023-10-25 03:45:00,2023-12-05 03:45:00,41,49,926.51,1002.0,68.09,73.66,3698.8,3557.05,0.0815,True
ICICIBANK,2023-10-31 03:45:00,2023-12-05 03:45:00,35,3,929.76,1002.0,4.18,4.51,216.7,208.01,0.0777,True
