timestamp,open,high,low,close,volume,datetime
1788843300000,78731.69,78731.7,78678.7,78678.71,63.05636,2026-09-08 04:55:00+00:00
1788843600000,78678.7,78819.97,78555.0,78679.59,179.89372,2026-09-08 05:00:00+00:00
1788843900000,78679.59,78756.0,78618.0,78679.82,77.15784,2026-09-08 05:05:00+00:00
1788844200000,78679.82,78775.24,78672.88,78708.0,60.96523,2026-09-08 05:10:00+00:00
1788844500000,78708.01,78851.44,78660.0,78851.43,69.68515,2026-09-08 05:15:00+00:00
1788844800000,78851.43,78878.0,78805.15,78843.14,37.71893,2026-09-08 05:20:00+00:00
1788845100000,78843.13,78882.0,78805.23,78825.88,45.48473,2026-09-08 05:25:00+00:00
1788845400000,78825.87,78825.88,78669.7,78688.01,55.44194,2026-09-08 05:30:00+00:00
1788845700000,78688.01,78759.69,78642.0,78727.99,59.48498,2026-09-08 05:35:00+00:00
1788846000000,78728.0,78740.0,78626.0,78626.01,62.87195,2026-09-08 05:40:00+00:00
1788846300000,78626.01,78689.89,78626.0,78689.89,53.24746,2026-09-08 05:45:00+00:00
1788846600000,78689.89,78714.0,78612.01,78616.92,83.19277,2026-09-08 05:50:00+00:00
1788846900000,78616.92,78644.0,78568.7,78578.0,62.14574,2026-09-08 05:55:00+00:00
1788847200000,78577.99,78603.99,78470.49,78530.0,239.44746,2026-09-08 06:00:00+00:00
1788847500000,78530.0,78630.99,78453.73,78598.98,169.48644,2026-09-08 06:05:00+00:00
1788847800000,78598.99,78598.99,78496.1,78589.99,108.85628,2026-09-08 06:10:00+00:00
1788848100000,78589.99,78632.0,78461.0,78461.01,121.91675,2026-09-08 06:15:00+00:00
1788848400000,78461.01,78501.82,78370.01,78446.01,171.94051,2026-09-08 06:20:00+00:00
1788848700000,78446.0,78470.0,78366.0,78387.63,162.44051,2026-09-08 06:25:00+00:00
1788849000000,78387.63,78446.96,78380.0,78384.09,139.57196,2026-09-08 06:30:00+00:00
1788849300000,78384.09,78442.01,78357.1,78418.01,142.0242,2026-09-08 06:35:00+00:00
1788849600000,78418.01,78448.0,78369.95,78426.37,135.31436,2026-09-08 06:40:00+00:00
